"treatKey","cowKey","treatDate","treatType","VF","reason","diseaseKey","comment","Cost","WitholdingPeriod"
"715","217","1993-06-22 00:00:00","T_HORM","VET","PROSTA","","","",""
"716","217","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"717","217","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"718","217","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"719","217","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"720","217","1993-01-15 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"721","218","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"722","218","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"723","218","1993-02-05 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"724","219","1993-07-26 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"725","219","1993-08-03 00:00:00","TTRACE","FARMER","SELEN","","","",""
"726","219","1994-02-08 00:00:00","T_ANTB","FARMER","PENSA","","intracillin","",""
"729","220","1993-04-02 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"730","220","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"731","220","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"732","220","1994-01-14 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"733","220","1992-03-13 00:00:00","T_META","FARMER","CALCUM","","Ca Boroglutamate","",""
"734","220","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"735","220","1992-02-04 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"738","221","1993-07-15 00:00:00","TVACCI","FARMER","LEPTO","","","",""
"739","221","1993-07-29 00:00:00","TTRACE","FARMER","SELEN","","","",""
"740","221","1994-02-01 00:00:00","T_DCT","FARMER","ORB DC","","","",""
"741","221","1992-05-12 00:00:00","TTRACE","FARMER","IODINE","","4ml","",""
"742","221","1992-05-16 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"743","221","1992-05-21 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"744","221","1992-06-18 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"745","221","1992-07-02 00:00:00","T_INTR","FARMER","SPEC F","","","",""
"746","221","1992-07-11 00:00:00","T_INTR","FARMER","SPEC F","","","",""
