psmKey,cowKey,psmCalvDate,psmDate,comment
807,274,,1/06/92,
809,275,6/03/93,1/06/93,
810,275,,1/06/92,
813,276,13/03/93,1/06/93,
814,276,,1/06/92,
816,277,23/03/93,1/06/93,
817,277,21/09/91,1/06/92,
821,278,13/03/93,1/06/93,
822,278,,1/06/92,
825,279,31/03/93,1/06/93,
826,279,17/03/92,1/06/92,
827,279,29/03/91,1/06/91,
828,280,15/03/93,1/06/93,
829,280,15/03/93,1/11/93,
830,280,6/03/92,1/06/92,
831,280,20/03/91,1/06/91,
833,281,30/03/93,1/06/93,
834,281,,1/06/92,
838,282,8/03/93,1/06/93,
839,282,,1/06/92,
841,283,10/03/93,1/06/93,
842,283,,1/06/92,
845,284,4/03/93,1/06/93,
846,284,,1/06/92,
849,285,,1/06/93,
852,286,9/03/93,1/06/93,
853,286,,1/06/92,
856,287,10/03/93,1/06/93,
857,287,,1/06/92,
859,288,24/03/93,1/06/93,
860,288,14/03/92,1/06/92,
861,288,2/03/91,1/06/91,
864,289,6/04/93,1/06/93,
865,289,4/03/92,1/06/92,
866,289,18/03/91,1/06/91,
868,290,10/03/93,1/06/93,
869,290,,1/06/92,
872,291,,1/06/93,
874,292,1/04/93,1/06/93,
875,292,,1/06/92,
877,293,21/04/93,1/06/93,
878,293,6/05/92,1/06/92,
879,293,3/04/91,1/06/91,
882,294,18/03/93,1/06/93,
883,294,4/10/91,1/06/92,
884,294,,4/06/91,
886,295,24/03/93,1/06/93,
887,295,25/03/92,1/06/92,
888,295,31/03/91,1/06/91,
890,296,10/03/93,1/06/93,
891,296,,1/06/92,
895,297,,1/06/93,
898,298,24/04/93,1/06/93,
899,298,,1/06/92,
902,299,13/03/93,1/06/93,
903,299,17/03/92,1/06/92,
904,299,13/03/91,1/06/91,
907,300,27/03/93,1/06/93,
908,300,,1/06/92,
911,301,,1/06/93,
914,302,18/04/93,1/06/93,
915,302,5/04/92,1/06/92,
916,302,18/03/91,1/06/91,
920,303,,1/06/93,
922,304,12/05/93,1/06/93,
923,304,2/04/92,1/06/92,
924,304,17/03/91,1/06/91,
926,305,,1/06/93,
929,306,,1/06/93,
932,307,,1/06/93,
934,308,9/03/93,1/06/93,
935,308,18/03/92,1/06/92,
936,308,19/04/91,1/06/91,
939,309,18/03/93,1/06/93,
940,309,6/03/92,1/06/92,
941,309,,4/06/91,
944,310,,1/06/93,
947,311,,1/06/93,
949,312,22/04/93,1/06/93,
950,312,19/03/92,1/06/92,
951,312,20/03/91,1/06/91,
956,314,,1/06/93,
957,315,22/09/91,1/06/92,
958,315,,4/06/91,
959,316,16/09/91,1/06/92,
960,316,,4/06/91,
961,317,,1/06/92,
962,318,,1/06/92,
963,319,,1/06/92,
964,320,,1/06/92,
1202,465,,1/06/93,
1207,466,11/03/93,1/06/93,
1208,466,3/03/92,1/06/92,
1218,469,27/03/93,1/06/93,
1219,469,30/03/92,1/06/92,
1220,469,1/03/91,1/06/91,
1225,470,14/03/93,1/06/93,
1226,470,8/03/92,1/06/92,
1227,470,24/03/91,1/06/91,
1242,474,21/04/93,1/06/93,
1243,474,15/03/92,1/06/92,
1244,474,21/03/91,1/06/91,
1259,478,,1/06/93,
1269,481,13/03/93,1/06/93,
1270,481,10/03/92,1/06/92,
1271,481,,4/06/91,
1286,485,16/03/93,1/06/93,
1287,485,,1/06/92,
1292,486,16/03/93,1/06/93,
1293,486,,1/06/92,
1298,487,24/03/93,1/06/93,
1299,487,26/03/92,1/06/92,
1300,487,4/03/91,1/06/91,
1305,488,30/03/93,1/06/93,
1306,488,,1/06/92,
1312,490,2/05/93,1/06/93,
1313,490,5/04/92,1/06/92,
1326,493,20/03/93,1/06/93,
1327,493,4/03/92,1/06/92,
1328,493,20/04/91,1/06/91,
1332,494,7/03/93,1/06/93,
1333,494,,1/06/92,
1338,495,30/03/93,1/06/93,
1339,495,15/03/92,1/06/92,
1340,495,25/03/91,1/06/91,
1344,496,17/04/93,1/06/93,
1345,496,24/04/92,1/06/92,
1346,496,7/04/91,1/06/91,
1351,497,2/04/93,1/06/93,
1352,497,,1/06/92,
1360,499,,1/06/93,
1367,501,9/03/93,1/06/93,
1368,501,,1/06/92,
1373,502,5/04/93,1/06/93,
1374,502,5/03/92,1/06/92,
1375,502,,4/06/91,
1380,503,29/03/93,1/06/93,
1381,503,,1/06/92,
1386,504,7/04/93,1/06/93,
1387,504,,1/06/92,
1393,506,18/04/93,1/06/93,
1394,506,25/03/92,1/06/92,
1395,506,8/04/91,1/06/91,
1400,507,10/03/93,1/06/93,
1401,507,4/10/91,1/06/92,
1402,507,,5/06/91,
1407,508,,1/06/93,
1412,509,17/03/93,1/06/93,
1413,509,24/03/92,1/06/92,
1414,509,10/03/91,1/06/91,
1419,510,,1/06/93,
1427,512,,1/06/93,
1432,513,21/03/93,1/06/93,
1433,513,,1/06/92,
1438,514,11/03/93,1/06/93,
1439,514,,1/06/92,
1444,515,,1/06/93,
1451,517,19/03/93,1/06/93,
