ServKey,CowKey,servDate,servType,Sire,Technician,Batch,comment,HeatObservedBy,HeatDetectionMethod,HeatDetectionCertainty,HoursSinceObservedHeat,SemenType,SemenStorage,SemenUnitCost,TimeOfAI,SplitStraw,DateHeatDetected
376,129,6/06/91,AI,86202,DCBA,,,,,,,,,,,,
377,130,10/06/93,AI,,DCBA,,,,,,,,,,,,
378,130,22/06/93,AI,88241,DCBA,,,,,,,,,,,,
379,130,13/07/93,NM,,,,,,,,,,,,,,
380,130,5/11/93,AI,87224,EDCB,,,,,,,,,,,,
381,130,5/06/92,AI,86279,DCBA,,,,,,,,,,,,
382,131,3/07/93,AI,88269,DCBA,,,,,,,,,,,,
383,131,5/06/92,AI,86279,DCBA,,,,,,,,,,,,
384,132,3/06/93,AI,,DCBA,,,,,,,,,,,,
385,132,22/06/93,AI,88241,DCBA,,,,,,,,,,,,
386,132,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
387,132,7/06/92,AI,87224,DCBA,,,,,,,,,,,,
388,132,25/06/91,AI,85203,DCBA,,,,,,,,,,,,
389,133,4/06/93,AI,87203,DCBA,,,,,,,,,,,,
390,133,27/06/93,AI,88269,DCBA,,,,,,,,,,,,
391,133,4/06/92,AI,87233,DCBA,,,,,,,,,,,,
392,134,1/06/93,AI,88269,DCBA,,,,,,,,,,,,
393,134,3/06/92,AI,87203,DCBA,,,,,,,,,,,,
394,134,3/06/91,AI,86279,DCBA,,,,,,,,,,,,
395,135,24/06/93,AI,88241,DCBA,,,,,,,,,,,,
396,135,25/06/93,AI,88269,DCBA,,,,,,,,,,,,
397,135,19/07/93,NM,,,,,,,,,,,,,,
398,135,1/06/92,AI,87224,DCBA,,,,,,,,,,,,
399,135,17/06/92,AI,87224,DCBA,,,,,,,,,,,,
400,135,8/07/92,AI,88269,DCBA,,,,,,,,,,,,
401,135,30/07/92,NM,0,,,,,,,,,,,,,
402,135,3/06/91,AI,86279,,,,,,,,,,,,,
403,135,26/06/91,AI,85203,DCBA,,,,,,,,,,,,
404,136,13/06/93,AI,88225,DCBA,,,,,,,,,,,,
405,136,3/07/93,AI,88269,DCBA,,,,,,,,,,,,
406,136,12/06/92,AI,87203,FRED,,,,,,,,,,,,
407,136,2/07/92,AI,87224,DCBA,,,,,,,,,,,,
408,136,20/07/92,NM,0,,,,,,,,,,,,,
409,136,7/06/91,AI,83283,,,,,,,,,,,,,
410,137,5/06/92,AI,87224,DCBA,,,,,,,,,,,,
411,137,22/06/92,AI,87224,DCBA,,,,,,,,,,,,
412,137,13/07/92,AI,87224,DCBA,,,,,,,,,,,,
413,137,28/07/92,NM,0,,,,,,,,,,,,,
414,137,6/06/91,AI,83283,,,,,,,,,,,,,
415,138,22/06/93,AI,88241,DCBA,,,,,,,,,,,,
416,138,13/07/93,NM,,,,,,,,,,,,,,
417,138,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
418,138,3/06/92,AI,86279,DCBA,,,,,,,,,,,,
419,139,14/06/92,AI,87203,DCBA,,,,,,,,,,,,
420,139,21/06/91,AI,86279,DCBA,,,,,,,,,,,,
421,140,4/06/93,AI,88241,DCBA,,,,,,,,,,,,
422,140,8/06/92,AI,87268,DCBA,,,,,,,,,,,,
423,140,26/06/92,AI,87203,DCBA,,,,,,,,,,,,
424,140,23/07/92,NM,0,,,,,,,,,,,,,
425,140,5/06/91,AI,83283,,,,,,,,,,,,,
426,140,25/06/91,AI,85203,DCBA,,,,,,,,,,,,
427,140,14/07/91,NM,,,,,,,,,,,,,,
428,141,3/06/93,AI,88269,DCBA,,,,,,,,,,,,
429,141,4/11/93,AI,89294,EDCB,,,,,,,,,,,,
