ProdKey,CowKey,testDate,LTDDate,HTFatPC,HTProtPC,HTLactPC,HTLitreAM,HTLitrePM,HTLitreTot,LtdLitre,LtdFatKg,LtdProtKg,LtdLactKg,StdLacDays,SCC,LW,LWRel,PayPW,PayPWRel,AbCode,Assessed,Withheld,comment,LtdDays,MilkPI,FatPI,ProteinPI,LtdVol305,LtdVolEx,LtdFatKg305,LtdFatKgEx,LtdProtKg305,LtdProtKgEx,LtdLactKg305,LtdLactKgEx,DL_LTDDate,DL_LtdLitre,DL_LtdFatKg,DL_LtdProtKg,DL_LtdLactKg,DL_LtdDays,BSTFlag
128,4242,20/01/2016,20/01/2016,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
129,4243,20/01/2016,20/01/2016,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
130,4245,20/01/2016,20/01/2016,,,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
131,4283,20/01/2016,20/01/2016,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
132,4286,20/01/2016,20/01/2016,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
133,4292,20/01/2016,20/01/2016,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
134,4314,20/01/2016,20/01/2016,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
135,4315,20/01/2016,20/01/2016,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
136,4318,20/01/2016,20/01/2016,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
137,4322,20/01/2016,20/01/2016,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
138,101,20/01/2016,20/01/2016,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
139,4345,20/01/2016,20/01/2016,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
140,4347,20/01/2016,20/01/2016,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
141,4354,20/01/2016,20/01/2016,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
142,4355,20/01/2016,20/01/2016,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
143,4358,20/01/2016,20/01/2016,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
144,4367,20/01/2016,20/01/2016,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
145,4368,20/01/2016,20/01/2016,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
146,4372,20/01/2016,20/01/2016,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
147,4376,20/01/2016,20/01/2016,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
148,4381,20/01/2016,20/01/2016,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
149,4391,20/01/2016,20/01/2016,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
150,4400,20/01/2016,20/01/2016,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
151,4407,20/01/2016,20/01/2016,,,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
152,4412,20/01/2016,20/01/2016,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
153,4416,20/01/2016,20/01/2016,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
154,4417,20/01/2016,20/01/2016,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
155,4424,20/01/2016,20/01/2016,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
156,4428,20/01/2016,20/01/2016,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
157,4432,20/01/2016,20/01/2016,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
158,4439,20/01/2016,20/01/2016,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
159,4440,20/01/2016,20/01/2016,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
160,4441,20/01/2016,20/01/2016,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
161,4458,20/01/2016,20/01/2016,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
162,4460,20/01/2016,20/01/2016,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
163,4463,20/01/2016,20/01/2016,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
164,4466,20/01/2016,20/01/2016,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
165,4469,20/01/2016,20/01/2016,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
166,4470,20/01/2016,20/01/2016,,,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
167,4477,20/01/2016,20/01/2016,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
168,4482,20/01/2016,20/01/2016,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
169,103,20/01/2016,20/01/2016,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
170,4498,20/01/2016,20/01/2016,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
171,4501,20/01/2016,20/01/2016,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,20/01/2016,,,,$0.00,,
